id,source,target,weight
1,1,10,2
2,1,18,1
3,1,23,1
4,1,30,2
5,1,32,8
6,1,35,1
7,1,38,1
8,1,39,2
9,1,40,1
10,1,41,1
11,2,5,1
12,2,22,1
13,3,21,1
14,3,28,1
15,3,32,3
16,4,5,1
17,4,27,1
18,4,32,1
19,4,41,1
20,4,44,1
21,4,48,1
22,4,51,1
23,5,19,1
24,5,44,1
25,6,8,4
26,6,17,1
27,6,19,1
28,6,24,1
29,6,25,1
30,6,32,3
31,6,34,1
32,6,35,1
33,6,44,2
34,6,45,1
35,7,15,1
36,7,20,1
37,7,28,2
38,7,31,2
39,7,45,1
40,8,15,5
41,8,19,1
42,8,25,5
43,8,30,1
44,8,32,4
45,8,35,1
46,8,39,1
47,8,44,1
48,8,46,1
49,9,32,1
50,10,12,1
51,10,14,5
52,10,23,1
53,10,32,1
54,10,33,1
55,10,36,1
56,11,15,1
57,11,16,1
58,11,17,2
59,11,28,1
60,11,31,4
61,11,36,1
62,12,17,1
63,12,35,1
64,12,46,1
65,13,21,1
66,14,16,2
67,14,18,1
68,14,25,1
69,14,29,1
70,14,48,3
71,15,17,1
72,15,18,1
73,15,32,3
74,15,46,1
75,16,17,1
76,16,31,1
77,17,19,1
78,17,35,2
79,17,45,1
80,17,50,2
81,18,21,1
82,18,48,1
83,19,34,1
84,19,43,1
85,20,28,3
86,20,44,1
87,20,54,1
88,21,29,1
89,21,31,2
90,21,43,1
91,22,41,1
92,22,48,1
93,23,31,1
94,23,55,1
95,24,39,1
96,25,32,1
97,25,35,1
98,25,45,1
99,25,55,2
100,26,28,2
101,27,39,1
102,27,40,1
103,27,48,1
104,27,55,3
105,28,34,2
106,28,36,2
107,28,41,1
108,28,48,2
109,28,51,2
110,28,53,1
111,28,54,2
112,29,31,4
113,29,48,2
114,29,53,1
115,30,32,4
116,30,39,2
117,31,51,1
118,32,35,2
119,32,39,15
120,32,40,1
121,32,41,5
122,32,43,1
123,32,44,1
124,34,35,1
125,35,36,1
126,35,40,1
127,35,45,1
128,35,49,8
129,35,51,1
130,35,55,1
131,36,41,4
132,36,44,1
133,36,49,1
134,36,52,1
135,38,41,5
136,39,40,6
137,39,41,6
138,39,43,1
139,39,55,2
140,40,41,1
141,41,45,2
142,41,55,2
143,43,44,1
144,43,55,1
145,44,55,2
146,48,53,1
147,48,55,4
148,49,51,1
149,51,55,1
